year,id,work_status,hours_worked_last_week,works_for,marital_status,siblings,children,age,age_when_firstchild_born,years_education,degree,major,sex,race,residence_type,family_living_location_when_sixteen,family_income_when_sixteen,born_in_US,number_grandparents_born_outside_US,total_family_income,region_of_interview,party_id,remember_voting_in_2016,Hillary_or_Trump,if_you__would_have_ voted_who_for,political_views,money_space_exploration_program,money_improve_protect_environment,money_improve_protect_health,money_helping_bigcities,money_decrease_crime,money_addressing_drug_addiction,money_improving_education,money_improving_conditions_blacks,money_national_defense,money_on_foreign_aid,money_on_welfare,should_gov_reduce_income_inequality,permit_to_buy_gun,should be legal_marijuana,attend_religious_services,happiness,personal_health,sex_education_public_schools,premarital_sex,sometimes_hard_spanking_child_necessary,gun_in_home,read_newspaper
2022,695,on leave,NA,someone else,married,1,3,41,27,16,bachelors,human services/human resources,FEMALE,OTHER,large city (over 250k),pacific,above average,yes,4,$130k to $150k,pacific,Democrat,voted,Clinton,NA,liberal,about right,too little,about right,too little,too little,too little,too little,too little,about right,about right,too little,3,favor,should be legal,2-3 times a month,very happy,fair,NA,NA,NA,yes,NA
2022,696,in school,NA,someone else,divorced,7,2,NA,33,20,graduate,law,MALE,BLACK,suburb near large city,pacific,below average,yes,2,$10k to $12.5k,pacific,Democrat,voted,Clinton,NA,extremely liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,never,not too happy,good,in favor,not wrong at all,agree,no,every day
2022,697,part time,12,someone else,never married,1,0,21,NA,16,high school,NA,FEMALE,OTHER,small city or town,pacific,average,yes,4,$22.5k to $25k,pacific,Democrat,ineligible,NA,Clinton,liberal,about right,too little,too little,about right,too little,NA,too little,too little,too much,too much,too little,NA,NA,NA,every week,pretty happy,good,in favor,not wrong at all,strongly disagree,no,never
2022,698,full time,40,someone else,married,0,1,39,38,12,high school,NA,FEMALE,OTHER,large city (over 250k),foreign,average,no,4,$130k to $150k,pacific,Independent,voted,Trump,NA,slightly liberal,too much,too little,too little,too much,too little,about right,too little,too little,too much,too much,too much,3,NA,should not be legal,never,pretty happy,fair,in favor,wrong only sometimes,disagree,NA,never
2022,699,full time,40,someone else,married,4,2,55,35,16,graduate,finance,MALE,OTHER,large city (over 250k),foreign,average,no,4,"$170,000 or over",pacific,Independent,ineligible,NA,Clinton,moderate/middle of road,about right,too little,too little,too little,too little,too much,too little,too much,about right,too much,too little,2,NA,NA,less than once a year,pretty happy,fair,in favor,wrong only sometimes,strongly agree,NA,every day
2022,700,full time,40,someone else,married,1,0,29,NA,16,bachelors,computer science,FEMALE,WHITE,suburb near large city,pacific,above average,yes,1,"$170,000 or over",pacific,Other,voted,NA,NA,liberal,about right,too little,too little,about right,about right,about right,about right,about right,about right,about right,about right,3,favor,should be legal,about once a month,pretty happy,good,NA,NA,NA,no,NA
2022,701,full time,42,someone else,never married,2,0,35,NA,16,associate,general studies,MALE,OTHER,medium-sized city (50-250k),mountain,above average,yes,2,NA,pacific,Democrat,did not vote,NA,Don't know/can't remember,moderate/middle of road,about right,about right,about right,NA,too little,about right,too little,too little,about right,about right,NA,1,favor,should be legal,less than once a year,pretty happy,good,NA,NA,NA,no,NA
2022,702,full time,40,someone else,never married,2,0,28,NA,16,bachelors,business administration,FEMALE,WHITE,medium-sized city (50-250k),pacific,above average,yes,4,$50k to $60k,pacific,Democrat,did not vote,NA,Don't know/can't remember,slightly liberal,about right,too little,too little,too little,too little,too little,too little,too little,about right,about right,about right,NA,favor,NA,several times a year,pretty happy,fair,in favor,not wrong at all,agree,no,less than once a week
2022,703,full time,45,someone else,never married,2,0,48,NA,17,bachelors,criminology/criminal science,FEMALE,WHITE,open country but not a farm,east north central,far below average,yes,0,$150k to $$35k to $40k0k,pacific,Independent,voted,Trump,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,less than once a year,pretty happy,good,in favor,not wrong at all,agree,yes,few times a week
2022,704,in school,NA,self-employed,married,4,2,77,21,14,high school,NA,MALE,WHITE,open country but not a farm,pacific,above average,yes,2,$90k to $110k,pacific,Democrat,voted,Clinton,NA,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,every week,very happy,good,in favor,not wrong at all,strongly disagree,no,every day
2022,705,in school,NA,someone else,never married,11,0,68,NA,3,less than high school,NA,MALE,OTHER,large city (over 250k),foreign,below average,no,4,$30k-$35k,pacific,Democrat,voted,Clinton,NA,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,should not be legal,every week,very happy,excellent,oppose,NA,disagree,NA,once a week
2022,706,full time,40,self-employed,never married,1,0,27,NA,12,high school,NA,FEMALE,WHITE,open country but not a farm,pacific,average,yes,1,NA,pacific,Republican,voted,Trump,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oppose,NA,less than once a year,pretty happy,good,in favor,not wrong at all,agree,no,never
2022,707,in school,NA,someone else,married,2,1,70,17,11,less than high school,NA,FEMALE,WHITE,large city (over 250k),pacific,below average,yes,4,$90k to $110k,pacific,Republican,voted,Trump,NA,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,2-3 times a month,pretty happy,fair,oppose,almost always wrong,disagree,yes,never
2022,708,other,NA,someone else,married,2,0,49,NA,16,high school,NA,MALE,BLACK,large city (over 250k),pacific,below average,yes,0,$110k to $130k,pacific,Republican,voted,Trump,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,never,pretty happy,poor,in favor,not wrong at all,agree,no,every day
2022,709,in school,NA,someone else,widowed,2,2,72,25,12,less than high school,NA,FEMALE,WHITE,suburb near large city,pacific,average,yes,3,$40k to $50k,pacific,Republican,voted,Trump,NA,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,favor,NA,several times a week,not too happy,good,NA,NA,NA,no,NA
2022,710,keeping house,NA,NA,married,2,7,43,24,13,high school,NA,FEMALE,WHITE,medium-sized city (50-250k),south atlantic,above average,yes,0,"$170,000 or over",pacific,Independent,voted,Clinton,NA,moderate/middle of road,too much,too little,too little,about right,too much,about right,too much,about right,too much,too much,about right,6,NA,NA,several times a year,very happy,good,oppose,always wrong,disagree,NA,never
2022,711,full time,50,someone else,widowed,6,1,57,27,16,bachelors,engineering,MALE,WHITE,open country but not a farm,south atlantic,below average,no,4,"$170,000 or over",pacific,Republican,voted,Other,NA,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,less than once a year,pretty happy,good,in favor,wrong only sometimes,disagree,NA,less than once a week
2022,712,other,NA,someone else,divorced,4,0,67,NA,16,bachelors,business administration,FEMALE,OTHER,medium-sized city (50-250k),pacific,below average,yes,NA,NA,pacific,Democrat,did not vote,NA,Don't know/can't remember,moderate/middle of road,about right,too little,about right,about right,too little,too little,too little,too little,about right,about right,about right,3,favor,NA,less than once a year,pretty happy,good,NA,NA,NA,no,NA
2022,713,in school,NA,someone else,married,3,2,60,26,15,associate,architecture,FEMALE,WHITE,small city or town,pacific,above average,yes,0,$150k to $$35k to $40k0k,pacific,Democrat,voted,Clinton,NA,liberal,too much,too little,too little,too little,about right,too little,too little,too little,too much,about right,too little,NA,oppose,NA,about once or twice a year,pretty happy,excellent,in favor,not wrong at all,disagree,no,every day
2022,714,full time,40,someone else,never married,1,0,20,NA,14,high school,NA,FEMALE,WHITE,small city or town,pacific,average,yes,0,$60k to $75k,pacific,Democrat,ineligible,NA,Other,liberal,about right,too little,too little,too little,too little,too little,too little,too little,too much,too little,too little,1,favor,NA,never,not too happy,good,NA,NA,NA,no,NA
2022,715,keeping house,NA,NA,never married,2,0,18,NA,11,less than high school,NA,MALE,OTHER,medium-sized city (50-250k),pacific,above average,yes,NA,NA,pacific,Independent/Democrat,ineligible,NA,Clinton,slightly liberal,about right,too little,about right,too little,about right,too little,too little,too little,about right,about right,about right,5,NA,should be legal,several times a year,pretty happy,good,in favor,not wrong at all,disagree,NA,never
2022,716,in school,NA,someone else,married,5,2,NA,27,17,bachelors,advertising,FEMALE,WHITE,medium-sized city (50-250k),west north central,average,yes,0,"$170,000 or over",pacific,Democrat,voted,Clinton,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,never,not too happy,good,in favor,not wrong at all,disagree,no,every day
2022,717,part time,20,self-employed,married,7,3,58,31,12,high school,NA,FEMALE,WHITE,small city or town,pacific,average,yes,0,$90k to $110k,pacific,Independent/Republican,voted,Trump,NA,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,favor,NA,never,very happy,excellent,NA,NA,NA,no,NA
2022,718,other,NA,self-employed,divorced,1,1,55,26,14,high school,NA,FEMALE,WHITE,medium-sized city (50-250k),pacific,average,yes,0,$17.5k to $20k,pacific,Independent/Republican,voted,Trump,NA,slightly conservative,too much,too much,too little,too little,too little,about right,too little,about right,too little,about right,too little,7,NA,NA,about once or twice a year,pretty happy,fair,oppose,not wrong at all,disagree,NA,every day
2022,719,full time,45,someone else,never married,4,1,46,42,13,high school,NA,MALE,WHITE,small city or town,pacific,above average,yes,0,$110k to $130k,pacific,Democrat,NA,NA,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,favor,should be legal,about once or twice a year,very happy,fair,NA,NA,NA,no,NA
2022,720,in school,NA,someone else,divorced,3,3,77,20,12,high school,NA,FEMALE,WHITE,small city or town,pacific,above average,yes,0,$10k to $12.5k,pacific,Democrat,voted,Clinton,NA,liberal,too much,too little,too little,too little,about right,too much,too little,too little,too much,about right,about right,3,favor,should be legal,several times a week,very happy,good,NA,NA,NA,no,NA
2022,721,in school,NA,someone else,married,1,0,72,NA,16,bachelors,business administration,MALE,WHITE,farm,pacific,average,yes,1,"$170,000 or over",pacific,Democrat,voted,Didn't vote,Clinton,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,favor,NA,never,pretty happy,fair,NA,NA,NA,yes,NA
2022,722,full time,40,someone else,married,3,2,61,26,16,associate,nursing,FEMALE,WHITE,open country but not a farm,pacific,average,yes,2,$60k to $75k,pacific,Independent,voted,Clinton,NA,moderate/middle of road,about right,too little,too little,too little,about right,about right,too little,too little,about right,too much,about right,3,oppose,NA,never,very happy,excellent,NA,NA,NA,no,NA
2022,723,in school,NA,someone else,married,1,0,51,NA,16,bachelors,music,MALE,WHITE,suburb near large city,pacific,average,yes,4,$50k to $60k,pacific,Democrat,voted,Clinton,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,favor,should be legal,never,pretty happy,fair,NA,NA,NA,no,NA
2022,724,other,NA,someone else,married,6,4,52,21,NA,less than high school,NA,FEMALE,OTHER,small city or town,foreign,below average,no,4,NA,pacific,Independent,did not vote,NA,Don't know/can't remember,conservative,about right,about right,about right,too little,about right,too little,about right,too little,too much,about right,about right,NA,oppose,NA,2-3 times a month,very happy,good,in favor,not wrong at all,disagree,no,few times a week
2022,725,in school,NA,someone else,divorced,1,2,65,30,16,bachelors,administrative science/public administration,MALE,OTHER,large city (over 250k),pacific,average,yes,4,$22.5k to $25k,pacific,Republican,voted,Trump,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,favor,NA,never,pretty happy,excellent,NA,NA,NA,yes,NA
2022,726,in school,NA,self-employed,married,2,2,79,18,12,high school,NA,FEMALE,WHITE,small city or town,pacific,below average,yes,1,$75k to $90k,pacific,Democrat,voted,Clinton,NA,liberal,too much,too little,too little,too little,about right,too little,too little,too little,about right,too little,too little,NA,favor,NA,every week,very happy,excellent,in favor,not wrong at all,disagree,no,every day
2022,727,full time,50,someone else,married,1,2,30,28,18,graduate,geography,FEMALE,WHITE,medium-sized city (50-250k),pacific,above average,yes,0,"$170,000 or over",pacific,Democrat,voted,Clinton,NA,liberal,about right,too little,too little,too little,about right,too little,too little,too little,too much,about right,too little,1,favor,NA,never,pretty happy,good,NA,NA,NA,no,NA
2022,728,in school,NA,someone else,married,4,2,73,22,13,high school,NA,MALE,WHITE,small city or town,pacific,average,yes,2,$130k to $150k,pacific,Democrat,voted,NA,NA,slightly conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,never,not too happy,fair,in favor,not wrong at all,disagree,NA,every day
2022,729,part time,20,self-employed,married,1,0,37,NA,16,bachelors,english,FEMALE,WHITE,suburb near large city,pacific,above average,yes,0,$150k to $$35k to $40k0k,pacific,Independent/Democrat,voted,Clinton,NA,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,should be legal,several times a year,pretty happy,excellent,in favor,not wrong at all,disagree,NA,few times a week
2022,730,full time,40,someone else,married,2,2,32,30,16,bachelors,information technology,MALE,WHITE,medium-sized city (50-250k),west south central,average,no,4,$90k to $110k,west south central,Republican,did not vote,NA,Other,moderate/middle of road,about right,about right,too little,too little,too little,about right,about right,about right,about right,too much,about right,NA,favor,NA,about once a month,pretty happy,good,in favor,wrong only sometimes,strongly agree,no,never
2022,731,full time,50,someone else,never married,4,0,49,NA,17,graduate,business administration,FEMALE,WHITE,large city (over 250k),west south central,average,yes,2,$110k to $130k,west south central,Democrat,voted,Clinton,NA,moderate/middle of road,about right,too little,too little,too little,too little,about right,too little,too little,about right,about right,about right,NA,favor,NA,about once or twice a year,not too happy,excellent,in favor,not wrong at all,disagree,no,never
2022,732,in school,NA,someone else,never married,1,0,66,NA,17,graduate,mathematics,FEMALE,WHITE,medium-sized city (50-250k),west south central,average,yes,0,$75k to $90k,west south central,Democrat,voted,Clinton,NA,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,favor,should be legal,several times a year,NA,good,NA,NA,NA,no,NA
2022,733,full time,60,self-employed,married,3,0,38,NA,14,high school,NA,MALE,WHITE,suburb near large city,west south central,above average,yes,0,$50k to $60k,west south central,Independent,did not vote,NA,Other,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,oppose,should be legal,never,pretty happy,fair,NA,NA,NA,yes,NA
2022,734,full time,36,someone else,never married,5,3,39,17,13,high school,NA,FEMALE,OTHER,large city (over 250k),west south central,average,yes,0,$17.5k to $20k,west south central,Independent,did not vote,NA,Don't know/can't remember,conservative,too much,too little,too little,too little,too little,too little,too little,too little,too much,too much,about right,1,favor,NA,never,pretty happy,good,NA,NA,NA,no,NA
2022,735,other,NA,self-employed,never married,1,8,78,NA,15,high school,NA,MALE,WHITE,large city (over 250k),pacific,above average,yes,0,$15k to $17.5k,west south central,Republican,did not vote,NA,Other,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,never,pretty happy,good,in favor,wrong only sometimes,strongly agree,no,never
2022,736,full time,40,self-employed,married,5,2,60,29,14,associate,art,MALE,OTHER,small city or town,foreign,below average,no,4,$90k to $110k,west south central,Democrat,voted,Trump,NA,NA,too much,too little,too much,NA,too little,too little,about right,too little,about right,about right,about right,NA,favor,NA,several times a week,pretty happy,excellent,in favor,always wrong,agree,refused,never
2022,737,full time,50,someone else,married,6,1,51,23,14,associate,computer science,MALE,WHITE,small city or town,south atlantic,average,yes,0,$110k to $130k,west south central,Other,voted,Clinton,NA,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,never,not too happy,good,in favor,not wrong at all,strongly disagree,yes,every day
2022,738,full time,48,someone else,never married,1,0,37,NA,13,high school,NA,FEMALE,BLACK,large city (over 250k),west south central,average,yes,0,$40k to $50k,west south central,Democrat,voted,Clinton,NA,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,never,very happy,good,in favor,not wrong at all,agree,no,less than once a week
2022,739,keeping house,NA,someone else,never married,7,1,25,24,12,high school,NA,FEMALE,WHITE,small city or town,west south central,average,yes,1,$60k to $75k,west south central,Independent,did not vote,NA,Trump,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,never,pretty happy,good,in favor,not wrong at all,agree,NA,never
2022,740,full time,42,someone else,never married,6,2,43,21,20,graduate,special education,FEMALE,OTHER,small city or town,foreign,below average,yes,0,$75k to $90k,west south central,Democrat,voted,Clinton,NA,moderate/middle of road,too much,too little,too little,too little,about right,too little,too little,too little,too much,NA,too much,NA,favor,NA,nearly every week,very happy,good,in favor,not wrong at all,strongly agree,no,never
2022,741,full time,40,someone else,married,2,1,45,41,14,high school,NA,FEMALE,OTHER,large city (over 250k),west south central,below average,no,4,$35k to $40k,west south central,Independent/Republican,did not vote,NA,Trump,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,favor,NA,never,not too happy,good,NA,NA,NA,yes,NA
2022,742,keeping house,NA,someone else,married,2,4,66,30,18,bachelors,health,FEMALE,WHITE,large city (over 250k),east north central,below average,yes,0,$110k to $130k,west south central,Independent,voted,Other,NA,slightly conservative,too little,too little,about right,too little,about right,too little,about right,too little,about right,about right,about right,5,NA,NA,nearly every week,NA,good,NA,NA,NA,no,NA
2022,743,full time,40,someone else,widowed,3,1,55,30,12,high school,NA,FEMALE,BLACK,large city (over 250k),west south central,average,yes,0,$60k to $75k,west south central,Democrat,voted,Clinton,NA,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oppose,NA,never,pretty happy,good,in favor,not wrong at all,agree,yes,never
2022,744,full time,40,someone else,never married,5,0,NA,NA,12,high school,NA,MALE,BLACK,suburb near large city,west south central,average,yes,0,$35k to $40k,west south central,Independent,did not vote,NA,Trump,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,should be legal,never,pretty happy,fair,oppose,wrong only sometimes,agree,NA,few times a week
2022,745,on leave,NA,someone else,married,6,2,75,28,20,graduate,english,MALE,WHITE,small city or town,east north central,average,yes,0,$110k to $130k,west south central,Republican,voted,Trump,NA,slightly conservative,too much,about right,about right,about right,too little,too little,too little,about right,about right,too much,too much,5,favor,NA,every week,pretty happy,good,NA,NA,NA,no,NA
2022,746,in school,NA,someone else,widowed,0,6,89,21,14,high school,NA,FEMALE,BLACK,small city or town,south atlantic,far below average,yes,1,$40k to $50k,west south central,Democrat,voted,Clinton,NA,slightly conservative,too much,about right,too little,too little,too little,about right,too little,too little,about right,too much,too much,2,favor,NA,2-3 times a month,pretty happy,good,NA,NA,NA,yes,NA
2022,747,in school,NA,someone else,married,3,3,83,31,17,bachelors,history,MALE,WHITE,small city or town,mountain,below average,yes,0,$130k to $150k,west south central,Republican,voted,Trump,NA,conservative,too much,too little,too little,too much,too little,too much,too little,too much,too little,too much,too much,7,NA,NA,several times a year,very happy,good,in favor,not wrong at all,disagree,NA,never
2022,748,other,NA,self-employed,married,2,3,NA,25,14,associate,other,MALE,OTHER,suburb near large city,west south central,below average,yes,2,$130k to $150k,west south central,Republican,NA,NA,NA,slightly conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,favor,NA,every week,very happy,good,NA,NA,NA,no,NA
2022,749,in school,NA,someone else,married,8,3,80,21,16,bachelors,nursing,FEMALE,OTHER,farm,foreign,above average,no,4,NA,west south central,Democrat,voted,Clinton,NA,moderate/middle of road,about right,about right,about right,too little,too little,too little,too little,too little,NA,too much,NA,1,favor,should not be legal,several times a week,pretty happy,good,NA,NA,NA,no,NA
2022,750,full time,40,someone else,married,2,0,61,NA,16,bachelors,mathematics,FEMALE,WHITE,suburb near large city,west south central,above average,yes,0,"$170,000 or over",west south central,Republican,voted,Clinton,NA,slightly conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oppose,NA,never,pretty happy,good,in favor,not wrong at all,strongly agree,yes,less than once a week
2022,751,in school,NA,someone else,married,7,0,80,NA,14,high school,NA,FEMALE,WHITE,small city or town,west south central,below average,yes,0,"$170,000 or over",west south central,Independent/Democrat,voted,Clinton,NA,liberal,too little,too little,too little,too little,too little,too little,too little,too little,about right,about right,too little,1,favor,NA,never,pretty happy,good,NA,NA,NA,no,NA
2022,752,in school,NA,someone else,married,1,2,86,35,16,bachelors,education,MALE,WHITE,large city (over 250k),west south central,average,yes,NA,$75k to $90k,west south central,Independent/Republican,NA,NA,NA,conservative,too little,too much,too much,too much,too much,too much,too little,too much,too little,too much,too much,7,NA,NA,every week,very happy,good,oppose,always wrong,agree,NA,less than once a week
2022,753,in school,NA,someone else,married,2,2,59,27,18,graduate,education,FEMALE,WHITE,suburb near large city,new england,above average,yes,1,"$170,000 or over",west south central,Democrat,voted,Clinton,NA,liberal,too little,too little,too little,too little,too little,too little,too little,too little,about right,too little,too little,1,NA,NA,less than once a year,very happy,excellent,in favor,not wrong at all,strongly disagree,NA,once a week
2022,754,full time,45,someone else,never married,1,0,31,NA,20,bachelors,business administration,FEMALE,WHITE,small city or town,west south central,average,yes,4,$75k to $90k,west south central,Other,voted,Trump,NA,slightly conservative,about right,too little,too little,too little,too little,too little,too little,too little,too little,too much,too little,NA,favor,NA,about once or twice a year,pretty happy,good,in favor,not wrong at all,agree,yes,never
2022,755,keeping house,NA,someone else,married,1,8,63,17,18,graduate,counseling,FEMALE,BLACK,large city (over 250k),east north central,average,yes,0,$50k to $60k,west south central,Democrat,voted,Clinton,NA,slightly conservative,too much,about right,too little,too little,too little,too little,too little,too little,about right,too much,too little,NA,favor,NA,about once a month,not too happy,good,in favor,always wrong,disagree,no,less than once a week
2022,756,full time,40,someone else,never married,1,4,NA,18,12,high school,NA,FEMALE,BLACK,large city (over 250k),west south central,average,yes,0,$30k-$35k,west south central,Democrat,voted,Clinton,NA,moderate/middle of road,too much,NA,NA,too little,too little,too little,too little,too little,NA,too much,about right,1,NA,should be legal,several times a year,pretty happy,good,in favor,not wrong at all,strongly agree,NA,less than once a week
2022,757,part time,44,someone else,never married,2,4,NA,13,13,high school,NA,FEMALE,BLACK,large city (over 250k),west south central,far below average,yes,NA,$10k to $12.5k,west south central,Independent,did not vote,NA,Clinton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,about once or twice a year,not too happy,fair,in favor,always wrong,strongly agree,NA,never
2022,758,in school,NA,someone else,widowed,8,1,NA,NA,14,high school,NA,FEMALE,BLACK,large city (over 250k),west south central,average,yes,NA,NA,west south central,Democrat,voted,Clinton,NA,NA,too much,too little,too little,too little,too little,too little,too little,too little,too little,too much,too little,NA,favor,should not be legal,every week,very happy,good,NA,NA,NA,no,NA
2022,759,keeping house,NA,NA,never married,4,7,20,17,20,associate,mathematics,MALE,OTHER,small city or town,west south central,above average,yes,0,NA,west south central,Democrat,ineligible,NA,Other,liberal,too little,about right,too little,too little,too little,too much,too little,too little,too much,too much,too much,NA,favor,NA,2-3 times a month,not too happy,fair,in favor,almost always wrong,strongly agree,yes,every day
2022,760,in school,NA,someone else,married,7,3,NA,17,14,high school,NA,FEMALE,BLACK,large city (over 250k),west south central,average,yes,0,$20k to $22.5k,west south central,Democrat,voted,Clinton,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,favor,should be legal,several times a week,pretty happy,good,NA,NA,NA,no,NA
2022,761,full time,48,someone else,married,2,0,25,NA,18,graduate,health,FEMALE,WHITE,suburb near large city,west south central,above average,yes,1,$130k to $150k,west south central,Republican,voted,Trump,NA,conservative,about right,too much,too much,about right,too little,too much,too much,too much,too little,too much,too much,NA,favor,NA,several times a week,pretty happy,good,oppose,always wrong,agree,no,few times a week
2022,762,part time,18,someone else,widowed,5,2,68,24,17,associate,medicine,MALE,WHITE,small city or town,south atlantic,below average,yes,0,$30k-$35k,west south central,Republican,voted,Trump,NA,extremely conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oppose,NA,never,very happy,fair,in favor,not wrong at all,strongly disagree,yes,never
2022,763,full time,40,someone else,never married,1,2,38,25,12,high school,NA,MALE,BLACK,large city (over 250k),middle atlantic,far below average,no,4,$60k to $75k,west south central,Independent,NA,NA,NA,moderate/middle of road,about right,too little,too little,too little,too little,too little,about right,too little,about right,too much,about right,1,NA,NA,about once a month,very happy,good,in favor,not wrong at all,strongly agree,NA,few times a week
2022,764,keeping house,NA,someone else,never married,1,0,22,NA,16,bachelors,food science/nutrition/culinary arts,FEMALE,BLACK,suburb near large city,west south central,above average,yes,0,$75k to $90k,west south central,Democrat,ineligible,NA,Clinton,moderate/middle of road,about right,too little,too little,too little,too little,too little,too little,too little,too much,too much,about right,NA,favor,NA,nearly every week,pretty happy,good,in favor,not wrong at all,disagree,no,less than once a week
2022,765,full time,40,someone else,never married,4,0,32,NA,14,high school,NA,FEMALE,BLACK,suburb near large city,west south central,below average,yes,0,$30k-$35k,west south central,Democrat,voted,Clinton,NA,slightly liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,never,pretty happy,fair,in favor,not wrong at all,strongly agree,no,never
2022,766,full time,40,someone else,married,1,1,35,33,16,bachelors,engineering,MALE,OTHER,large city (over 250k),west south central,far below average,no,4,$75k to $90k,west south central,Independent/Democrat,did not vote,NA,Clinton,slightly liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,several times a year,pretty happy,fair,in favor,not wrong at all,strongly disagree,NA,few times a week
2022,767,full time,40,someone else,married,4,0,44,NA,20,graduate,computer science,MALE,BLACK,medium-sized city (50-250k),west south central,average,yes,0,$110k to $130k,west south central,Independent,voted,NA,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,every week,pretty happy,good,in favor,always wrong,strongly agree,yes,once a week
2022,768,full time,50,someone else,never married,2,1,49,30,16,bachelors,business administration,MALE,WHITE,small city or town,west south central,above average,yes,0,"$170,000 or over",west south central,Republican,voted,Trump,NA,moderate/middle of road,too little,too much,too much,too little,too little,too little,too little,too much,too little,too much,too much,7,NA,NA,nearly every week,very happy,excellent,in favor,wrong only sometimes,agree,NA,less than once a week
2022,769,keeping house,NA,someone else,married,6,2,NA,18,14,high school,NA,MALE,OTHER,large city (over 250k),west south central,below average,yes,NA,$60k to $75k,west south central,Independent/Republican,did not vote,NA,Trump,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,oppose,should be legal,never,pretty happy,good,NA,NA,NA,no,NA
2022,770,full time,40,someone else,married,3,3,43,25,12,high school,NA,MALE,WHITE,suburb near large city,west south central,below average,yes,0,$150k to $$35k to $40k0k,west south central,Independent,voted,NA,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,favor,NA,nearly every week,pretty happy,good,NA,NA,NA,no,NA
2022,771,full time,50,someone else,never married,2,2,40,24,20,graduate,health,FEMALE,BLACK,large city (over 250k),middle atlantic,average,yes,1,$110k to $130k,west south central,Independent,did not vote,NA,Clinton,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,several times a year,pretty happy,good,in favor,not wrong at all,disagree,NA,never
2022,772,full time,40,someone else,separated,1,2,62,25,16,bachelors,business administration,FEMALE,WHITE,small city or town,east north central,average,yes,2,$40k to $50k,west south central,Republican,voted,Trump,NA,conservative,about right,too little,too little,about right,about right,about right,too little,too much,about right,too much,too much,NA,oppose,NA,2-3 times a month,pretty happy,fair,in favor,wrong only sometimes,disagree,no,less than once a week
