year,id,work_status,hours_worked_last_week,works_for,marital_status,siblings,children,age,age_when_firstchild_born,years_education,degree,major1,sex,race,residence_type_at16,residence_region_at16,reside_same_state_as16,living_with_parents_at16,family_income_at16,born_in_usa,number_grandparents_born_in_usa,number_in_household,number_in_household_under_six,number_in_household_6to12,number_in_household_13to17,adults,number_in_household_earning_money,total_family_income,region_of_interview,remember_voting_in_2016,Hillary_or_Trump,polviews,spending_on_space_exploration_program,spending_on_environmental_protection,spending_on_national_health,spending_on_bigcity_problems,spending_on_crime,spending_on_drug_addiction,spending_on_education,spending_on_childcare_assistance,spending_on_scientific_research,tax_amount,require_a_permit_before_gun_purchases,should_marijuana_be_legal,religious_preference,happiness,health,how_many_weeks_worked_last_year,ideal_number_children_in_family,sex_ed_in_public_schools,premarital_sex,teen_sex,sometimes_hard_spanking_child_necessary,gun_in_house,adult_hunter_in_household,how_often_read_newspaper,average_day_hours_tv,remember_voting_in_2020,Biden_or_Trump,lonely_without_internet,often_reads_political_opinions_they_disagree_with,often_accesses_nonroutine_political_news_sources,often_tries_to_confirm_info_with_other_sources,how_much_trust_people_met_online_only
2024,363,working full time,40,someone else,widowed,3,3,58,33,12th grade,high school,iap,female,white,in a suburb near a large city,midwest,"same state, different city",both own parents,average,yes,iap,3,0,0,0,3,3 or more,"$25,000 or more",midwest,voted,clinton,slightly liberal,about right,too little,too little,about right,about right,too little,too little,too little,too little,too high,favor,iap,catholic,not too happy,fair,49,as many as you want,favor,not wrong at all,wrong only sometimes,strongly disagree,no,"no, neither r nor spouse hunts",never,2,voted,biden,disagree,sometimes,rarely,often,2
2024,364,retired,iap,someone else,married,2,2,71,20,12th grade,high school,iap,female,white,in a suburb near a large city,midwest,"same state, different city","other arrangement with relatives (e.g., aunt and uncle, grandparents)",average,yes,two,2,0,0,0,2,0,"$25,000 or more",midwest,voted,trump,"moderate, middle of the road",too much,about right,too little,too little,too little,too little,too little,about right,about right,too high,favor,iap,protestant,not too happy,good,none or zero,2,favor,always wrong,always wrong,agree,no,"no, neither r nor spouse hunts",once a week,3,voted,trump,disagree,rarely,rarely,rarely,5
2024,365,working full time,60,someone else,married,6 or more,2,60,33,4 years of college,bachelor's,engineering technologies,male,white,"in a small city or town (under 50,000)",midwest,"same state, different city",both own parents,above average,yes,none,iap,iap,iap,iap,2,3 or more,"$25,000 or more",midwest,voted,clinton,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,too little,too little,about right,favor,iap,catholic,pretty happy,excellent,52,2,favor,not wrong at all,almost always wrong,disagree,yes,"yes, respondent does",never,2,voted,biden,strongly disagree,often,sometimes,sometimes,no trust at all
2024,366,retired,iap,someone else,divorced,2,1,69,34,5 years of college,high school,iap,male,white,"in a small city or town (under 50,000)",midwest,"same state, same city",both own parents,average,yes,none,2,0,0,0,2,0,"$25,000 or more",midwest,voted,trump,slightly liberal,too little,too little,about right,too little,too little,too little,too little,too little,too little,about right,favor,iap,none,very happy,good,none or zero,3,favor,not wrong at all,almost always wrong,strongly disagree,yes,"no, neither r nor spouse hunts",never,3,voted,biden,disagree,sometimes,rarely,very often,no trust at all
2024,367,working part time,50,someone else,married,2,2,55,25,3 years of college,high school,iap,female,white,"in a medium-size city (50,000-250,000)",foreign,different state,both own parents,average,no,four,4,0,0,0,3,3 or more,"$25,000 or more",midwest,did not vote,iap,"moderate, middle of the road",about right,too little,too little,too little,don't know,too little,about right,don't know,about right,iap,iap,should not be legal,orthodox-christian,pretty happy,fair,44,3,oppose,not wrong at all,always wrong,disagree,iap,iap,never,1,did not vote,iap,disagree,rarely,rarely,sometimes,no trust at all
2024,368,retired,iap,someone else,widowed,2,4,89 or older,25,12th grade,high school,iap,female,white,"in a small city or town (under 50,000)",foreign,different state,both own parents,below average,no,four,3,0,0,0,3,1,"$25,000 or more",midwest,voted,clinton,extremely conservative,about right,too little,don't know,too little,too little,too little,about right,don't know,too little,too high,favor,should be legal,catholic,not too happy,poor,none or zero,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,voted,biden,iap,iap,iap,iap,iap
2024,369,working full time,40,someone else,married,2,4,42,18,4 years of college,bachelor's,education administration and teaching,male,white,"in a small city or town (under 50,000)",midwest,"same state, different city",some other female relative (no male head),below average,yes,iap,iap,iap,iap,iap,2,3 or more,"$25,000 or more",midwest,voted,clinton,liberal,iap,iap,iap,iap,iap,iap,iap,about right,too little,iap,iap,don't know,protestant,pretty happy,good,50,as many as you want,favor,not wrong at all,almost always wrong,agree,iap,iap,less than once a week,1,voted,biden,iap,iap,iap,iap,iap
2024,370,other,iap,someone else,never married,1,0,50,iap,12th grade,high school,iap,male,white,"in a small city or town (under 50,000)",midwest,"same state, same city",mother only,above average,yes,two,iap,iap,iap,iap,1 adult in household,0,"$10,000 to $14,999",midwest,did not vote,iap,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,too little,about right,iap,iap,should be legal,other,pretty happy,fair,none or zero,2,favor,not wrong at all,not wrong at all,strongly agree,iap,iap,never,4,voted,trump,iap,iap,iap,iap,iap
2024,371,working full time,60,self-employed,never married,6 or more,0,32,iap,4 years of college,bachelor's,social sciences,female,black,in a suburb near a large city,midwest,"same state, different city",mother only,average,yes,two,iap,iap,iap,iap,4,3 or more,"$8,000 to $9,999",midwest,voted,clinton,extremely liberal,iap,iap,iap,iap,iap,iap,iap,too little,about right,too high,oppose,iap,none,very happy,excellent,52,as many as you want,favor,not wrong at all,not wrong at all,disagree,no,"no, neither r nor spouse hunts",never,0 hours,voted,biden,strongly disagree,very often,very often,very often,no trust at all
2024,372,retired,iap,someone else,married,6 or more,3,69,21,1 year of college,high school,iap,male,white,"in a small city or town (under 50,000)",midwest,"same state, different city",both own parents,average,yes,none,2,0,0,0,2,0,iap,midwest,voted,clinton,slightly conservative,too little,too little,too little,too little,too little,too little,too little,too little,about right,iap,iap,iap,catholic,pretty happy,fair,none or zero,3,favor,not wrong at all,wrong only sometimes,disagree,iap,iap,every day,7,voted,biden,neither agree nor disagree,sometimes,sometimes,sometimes,don't know
2024,373,working full time,40,someone else,never married,1,0,28,iap,12th grade,high school,iap,male,white,in a suburb near a large city,midwest,"same state, different city",both own parents,average,yes,iap,iap,iap,iap,iap,2,0,"$25,000 or more",midwest,did not vote,iap,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,too little,too little,too high,favor,iap,none,pretty happy,fair,40,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,did not vote,iap,iap,iap,iap,iap,iap
2024,374,working full time,60,someone else,married,0,0,58,iap,4 years of college,bachelor's,computer and information sciences,male,white,"in a large city (over 250,000)",midwest,"same state, different city",mother only,far below average,yes,none,iap,iap,iap,iap,2,2,"$25,000 or more",midwest,voted,clinton,liberal,iap,iap,iap,iap,iap,iap,iap,too little,too little,too high,favor,should be legal,catholic,very happy,good,52,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,voted,biden,iap,iap,iap,iap,iap
2024,375,retired,iap,someone else,divorced,3,0,76,iap,2 years of college,high school,iap,female,white,"in a large city (over 250,000)",midwest,"same state, different city",both own parents,average,yes,four,1,0,0,0,1 adult in household,0,"$25,000 or more",midwest,voted,clinton,"moderate, middle of the road",about right,too little,too little,about right,too little,too little,too little,about right,too little,about right,favor,iap,protestant,very happy,good,none or zero,don't know,favor,not wrong at all,don't know,strongly agree,no,"no, neither r nor spouse hunts",never,4,voted,biden,disagree,never,never,often,no trust at all
2024,376,working part time,25,someone else,widowed,2,2,no answer,18,2 years of college,high school,iap,female,white,in a suburb near a large city,midwest,"same state, different city",mother and stepparent,average,yes,four,iap,iap,iap,iap,1 adult in household,1,refused,midwest,voted,trump,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,about right,about right,too high,favor,should not be legal,none,not too happy,good,52,iap,iap,iap,iap,iap,yes,"no, neither r nor spouse hunts",iap,iap,voted,trump,iap,iap,iap,iap,iap
2024,377,working full time,39,someone else,divorced,1,3,60,27,2 years of college,high school,iap,female,white,"in a small city or town (under 50,000)",midwest,"same state, different city",mother only,below average,yes,one,iap,iap,iap,iap,3,2,"$25,000 or more",midwest,voted,clinton,extremely liberal,iap,iap,iap,iap,iap,iap,iap,too little,about right,about right,favor,should be legal,other,not too happy,good,52,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,voted,biden,iap,iap,iap,iap,iap
2024,378,working full time,40,someone else,never married,1,0,26,iap,4 years of college,bachelor's,business,male,white,in a suburb near a large city,midwest,"same state, different city",both own parents,above average,yes,one,iap,iap,iap,iap,1 adult in household,1,"$25,000 or more",midwest,voted,clinton,extremely liberal,iap,iap,iap,iap,iap,iap,iap,too little,too little,about right,favor,iap,other,pretty happy,good,52,2,favor,not wrong at all,wrong only sometimes,agree,no,"yes, respondent does",never,1,voted,biden,agree,often,often,often,2
2024,379,working full time,43,someone else,married,0,2,47,32,12th grade,less than high school,iap,female,other,"in a large city (over 250,000)",foreign,different state,both own parents,below average,no,four,2,0,0,0,2,1,"$25,000 or more",midwest,did not vote,iap,conservative,too much,too little,too little,too much,too little,too much,too much,about right,too much,too high,oppose,iap,catholic,pretty happy,good,52,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,did not vote,iap,iap,iap,iap,iap,iap
2024,380,working full time,40,someone else,married,2,0,52,iap,2 years of college,high school,iap,female,black,"in a large city (over 250,000)",midwest,"same state, same city","other arrangement with relatives (e.g., aunt and uncle, grandparents)",average,yes,none,2,0,0,0,2,2,"$25,000 or more",midwest,voted,clinton,"moderate, middle of the road",too much,about right,too little,too little,too little,too little,too little,too little,too much,too high,favor,iap,protestant,pretty happy,good,40,iap,iap,iap,iap,iap,yes,"no, neither r nor spouse hunts",iap,iap,voted,biden,iap,iap,iap,iap,iap
2024,381,working full time,80,someone else,never married,0,6,46,18,12th grade,high school,iap,female,black,"in a large city (over 250,000)",midwest,"same state, same city",both own parents,average,yes,none,2,0,1,0,1 adult in household,1,"$25,000 or more",midwest,voted,clinton,extremely liberal,too little,about right,about right,about right,too little,about right,about right,about right,about right,iap,iap,iap,none,pretty happy,fair,10,as many as you want,favor,not wrong at all,not wrong at all,disagree,iap,iap,every day,6,voted,biden,strongly agree,often,often,often,5
2024,382,retired,iap,someone else,widowed,6 or more,0,80,iap,1 year of college,high school,iap,female,black,"in a large city (over 250,000)",midwest,"same state, same city",both own parents,average,yes,none,1,0,0,0,1 adult in household,1,"$25,000 or more",midwest,voted,clinton,slightly conservative,too little,about right,too little,too little,too little,too little,too little,too little,too much,too high,oppose,iap,protestant,pretty happy,fair,52,2,oppose,almost always wrong,almost always wrong,agree,no,"no, neither r nor spouse hunts",never,5,voted,biden,neither agree nor disagree,rarely,rarely,often,4
2024,383,working part time,28,someone else,divorced,6 or more,0,45,iap,2 years of college,high school,iap,male,black,"in a large city (over 250,000)",midwest,"same state, same city",mother only,below average,yes,none,1,0,0,0,1 adult in household,1,"$25,000 or more",midwest,voted,don't know,"moderate, middle of the road",about right,about right,too little,too little,too little,too little,too little,about right,about right,too high,favor,should be legal,protestant,pretty happy,fair,47,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,voted,biden,iap,iap,iap,iap,iap
2024,384,working full time,40,someone else,never married,1,0,35,iap,1 year of college,high school,iap,male,other,in open country but not on a farm,foreign,different state,both own parents,average,no,four,iap,iap,iap,iap,5,3 or more,"$25,000 or more",midwest,ineligible,iap,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,too little,too little,too high,favor,should be legal,catholic,very happy,excellent,52,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,ineligible,iap,iap,iap,iap,iap,iap
2024,385,working part time,30,someone else,never married,5,0,35,iap,4 years of college,high school,iap,male,black,"in a large city (over 250,000)",midwest,"same state, same city",both own parents,above average,yes,none,2,0,0,0,2,1,"$25,000 or more",midwest,voted,didn't vote for president,"moderate, middle of the road",about right,too little,too little,too much,too little,too little,too little,too little,about right,iap,iap,should be legal,protestant,pretty happy,good,52,as many as you want,favor,wrong only sometimes,always wrong,agree,iap,iap,never,0 hours,voted,didn't vote for president,disagree,sometimes,sometimes,often,6
2024,386,working full time,40,someone else,married,6 or more,3,66,18,1 year of college,high school,iap,male,black,"in a large city (over 250,000)",midwest,"same state, same city",father only,average,yes,none,4,0,0,0,2,1,"$25,000 or more",midwest,voted,clinton,"moderate, middle of the road",too much,about right,about right,about right,too little,about right,too little,too little,about right,too high,favor,should be legal,catholic,very happy,good,52,iap,iap,iap,iap,iap,yes,"no, neither r nor spouse hunts",iap,iap,voted,biden,iap,iap,iap,iap,iap
2024,387,working full time,80,someone else,separated,6 or more,6,46,18,4 years of college,bachelor's,skipped on web,female,black,"in a large city (over 250,000)",midwest,"same state, same city",mother only,far below average,yes,none,3,0,1,1,1 adult in household,1,skipped on web,midwest,voted,clinton,"moderate, middle of the road",too little,too little,too little,too little,too little,too little,too little,too little,too little,about right,favor,iap,protestant,not too happy,excellent,skipped on web,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,voted,biden,iap,iap,iap,iap,iap
2024,388,retired,iap,someone else,widowed,6 or more,1,78,18,11th grade,less than high school,iap,female,black,"in a small city or town (under 50,000)",south,different state,"other arrangement with relatives (e.g., aunt and uncle, grandparents)",far below average,yes,none,iap,iap,iap,iap,1 adult in household,0,"$10,000 to $14,999",midwest,voted,clinton,extremely liberal,iap,iap,iap,iap,iap,iap,iap,about right,about right,about right,oppose,iap,protestant,very happy,good,none or zero,4,favor,always wrong,always wrong,strongly agree,no,"no, neither r nor spouse hunts",never,2,voted,biden,strongly agree,never,never,can't choose,no trust at all
2024,389,keeping house,iap,someone else,married,6 or more,5,74,20,12th grade,high school,iap,female,black,"in a small city or town (under 50,000)",foreign,different state,both own parents,far above average,no,four,2,0,0,0,2,0,"$10,000 to $14,999",midwest,did not vote,iap,slightly liberal,about right,about right,about right,about right,don't know,don't know,about right,about right,about right,about right,don't know,iap,protestant,very happy,good,none or zero,5,favor,almost always wrong,always wrong,agree,no,"no, neither r nor spouse hunts",once a week,2,ineligible,iap,iap,iap,iap,iap,iap
2024,390,"unemployed, laid off, looking for work",iap,someone else,never married,4,3,51,26,12th grade,high school,iap,male,black,"in a large city (over 250,000)",midwest,"same state, same city",mother only,average,yes,none,iap,iap,iap,iap,2,1,"$5,000 to $5,999",midwest,don't know,iap,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,about right,too little,about right,oppose,iap,protestant,not too happy,poor,3,2,favor,not wrong at all,not wrong at all,strongly disagree,no,"no, neither r nor spouse hunts",never,4,don't know,iap,disagree,sometimes,sometimes,sometimes,no trust at all
2024,391,"unemployed, laid off, looking for work",iap,someone else,divorced,1,0,59,iap,12th grade,high school,iap,male,black,"in a large city (over 250,000)",midwest,"same state, same city",mother only,no answer,yes,iap,1,0,0,0,1 adult in household,no answer,"$20,000 to $24,999",midwest,no answer,no answer,don't know,too much,too little,too little,too little,too little,too little,too little,don't know,don't know,iap,iap,don't know,none,not too happy,good,no answer,4,don't know,wrong only sometimes,not wrong at all,disagree,iap,iap,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer,no answer
2024,392,keeping house,iap,someone else,never married,2,4,36,19,1 year of college,high school,iap,female,black,"in a large city (over 250,000)",midwest,"same state, same city",some other female relative (no male head),below average,yes,none,5,1,1,2 or more,1 adult in household,2,"$25,000 or more",midwest,did not vote,iap,extremely conservative,about right,too little,too little,too little,too little,too little,too little,too little,about right,too high,favor,should be legal,protestant,not too happy,fair,40,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,did not vote,iap,iap,iap,iap,iap,iap
2024,393,working full time,40,someone else,never married,3,0,52,iap,5 years of college,graduate,business,female,black,"in a large city (over 250,000)",midwest,different state,mother only,average,yes,none,1,0,0,0,1 adult in household,1,"$25,000 or more",midwest,voted,clinton,"moderate, middle of the road",too little,too little,too little,too little,too little,about right,too little,too little,too little,too high,favor,iap,protestant,pretty happy,fair,52,as many as you want,favor,not wrong at all,almost always wrong,agree,yes,"no, neither r nor spouse hunts",every day,0 hours,voted,biden,neither agree nor disagree,sometimes,rarely,sometimes,no trust at all
2024,394,retired,iap,someone else,divorced,6 or more,3,63,29,4 years of college,graduate,social sciences,female,black,"in a large city (over 250,000)",midwest,"same state, same city",both own parents,far below average,yes,none,1,0,0,0,1 adult in household,1,"$25,000 or more",midwest,voted,clinton,liberal,too much,too little,too little,too little,too little,too little,too little,too little,too little,too high,oppose,should not be legal,protestant,very happy,good,40,iap,iap,iap,iap,iap,no,"yes, respondent does",iap,iap,voted,biden,iap,iap,iap,iap,iap
2024,395,retired,iap,someone else,divorced,5,0,78,iap,2 years of college,associate/junior college,history,male,black,"in a medium-size city (50,000-250,000)",south,different state,mother only,above average,yes,none,1,0,0,0,1 adult in household,0,"$25,000 or more",midwest,voted,clinton,liberal,about right,too little,too little,too little,too little,about right,too little,too little,too little,iap,iap,should be legal,none,pretty happy,good,none or zero,as many as you want,favor,not wrong at all,wrong only sometimes,agree,iap,iap,every day,3,voted,biden,disagree,often,very often,very often,6
2024,396,"unemployed, laid off, looking for work",iap,someone else,married,2,0,42,iap,1 year of college,high school,iap,female,black,"in a large city (over 250,000)",midwest,"same state, same city",both own parents,below average,yes,none,2,0,0,0,2,0,"$1,000 to $2,999",midwest,voted,other candidate,extremely liberal,about right,about right,about right,too little,too little,about right,about right,about right,about right,too high,oppose,iap,protestant,very happy,excellent,5,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,voted,biden,iap,iap,iap,iap,iap
2024,397,retired,iap,someone else,married,1,1,77,40,7 years of college,bachelor's,education administration and teaching,male,black,"in a large city (over 250,000)",midwest,"same state, same city",mother only,above average,yes,iap,2,0,0,0,2,0,"$25,000 or more",midwest,voted,clinton,"moderate, middle of the road",about right,too little,too little,too little,about right,too little,too little,too little,about right,about right,oppose,iap,catholic,pretty happy,fair,none or zero,2,favor,don't know,wrong only sometimes,disagree,yes,"no, neither r nor spouse hunts",less than once a week,4,voted,biden,disagree,sometimes,sometimes,sometimes,2
2024,398,working full time,36,someone else,married,1,2,39,21,1 year of college,high school,iap,female,black,"in a large city (over 250,000)",midwest,"same state, same city",both own parents,far below average,yes,none,iap,iap,iap,iap,2,1,"$25,000 or more",midwest,don't know,iap,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,too little,too little,about right,oppose,iap,catholic,very happy,good,45,5,favor,not wrong at all,always wrong,disagree,no,"no, neither r nor spouse hunts",never,4,don't know,iap,strongly disagree,often,rarely,very often,no trust at all
2024,399,retired,iap,someone else,divorced,1,5,83,17 and younger,9th grade,less than high school,iap,female,white,"in a large city (over 250,000)",midwest,"same state, same city",both own parents,below average,yes,two,iap,iap,iap,iap,2,0,"$10,000 to $14,999",midwest,voted,clinton,liberal,iap,iap,iap,iap,iap,iap,iap,too little,about right,iap,iap,iap,catholic,pretty happy,fair,none or zero,as many as you want,favor,not wrong at all,wrong only sometimes,strongly disagree,iap,iap,never,10,voted,biden,iap,iap,iap,iap,iap
2024,400,retired,iap,self-employed,never married,3,0,60,iap,4 years of college,bachelor's,fine arts,male,white,in a suburb near a large city,midwest,"same state, different city",both own parents,above average,yes,four,iap,iap,iap,iap,1 adult in household,0,"$25,000 or more",midwest,voted,clinton,liberal,iap,iap,iap,iap,iap,iap,iap,too little,too little,iap,iap,iap,none,not too happy,good,none or zero,2,favor,not wrong at all,not wrong at all,strongly disagree,iap,iap,once a week,3,voted,biden,iap,iap,iap,iap,iap
2024,401,working full time,40,someone else,never married,1,0,26,iap,4 years of college,bachelor's,mathematics and statistics,male,other,in a suburb near a large city,midwest,"same state, different city",both own parents,below average,yes,four,2,0,0,0,2,2,"$25,000 or more",midwest,voted,clinton,extremely liberal,too little,too little,too little,too little,too little,too little,too little,too little,too little,about right,favor,iap,hinduism,pretty happy,fair,42,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,voted,biden,iap,iap,iap,iap,iap
2024,402,working full time,27,someone else,never married,4,0,45,iap,4 years of college,bachelor's,fine arts,male,white,"in a medium-size city (50,000-250,000)",midwest,different state,father and stepparent,average,yes,none,2,0,0,0,2,2,"$25,000 or more",midwest,voted,other candidate,extremely liberal,about right,too little,too little,too little,too much,too little,too little,too little,too little,iap,iap,should be legal,other,pretty happy,good,44,as many as you want,favor,not wrong at all,wrong only sometimes,strongly disagree,iap,iap,once a week,0 hours,voted,other candidate,strongly disagree,often,often,very often,7
2024,403,working full time,40,someone else,never married,1,0,23,iap,2 years of college,associate/junior college,criminal justice and fire protection,female,white,"in a large city (over 250,000)",midwest,"same state, same city",both own parents,far below average,yes,none,1,0,0,0,1 adult in household,1,"$25,000 or more",midwest,ineligible,iap,"moderate, middle of the road",about right,about right,about right,about right,about right,too little,about right,too much,too much,too high,favor,iap,none,not too happy,excellent,1,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,did not vote,iap,iap,iap,iap,iap,iap
2024,404,other,iap,iap,never married,2,0,56,iap,12th grade,high school,iap,female,black,"in a large city (over 250,000)",midwest,"same state, same city",both own parents,average,yes,none,iap,iap,iap,iap,1 adult in household,0,"$1,000 to $2,999",midwest,voted,clinton,extremely liberal,iap,iap,iap,iap,iap,iap,iap,about right,too much,iap,iap,should not be legal,none,very happy,good,none or zero,3,favor,always wrong,always wrong,disagree,iap,iap,never,2,voted,biden,iap,iap,iap,iap,iap
2024,405,working part time,14,someone else,divorced,2,0,54,iap,8 or more years of college,graduate,"english language, literature, and composition",female,white,"in a large city (over 250,000)",midwest,different state,both own parents,average,yes,one,iap,iap,iap,iap,1 adult in household,1,"$25,000 or more",midwest,voted,clinton,extremely liberal,iap,iap,iap,iap,iap,iap,iap,too little,too little,too high,favor,iap,none,pretty happy,poor,52,2,favor,not wrong at all,almost always wrong,strongly disagree,no,"no, neither r nor spouse hunts",a few times a week,1,voted,biden,neither agree nor disagree,sometimes,rarely,sometimes,no trust at all
2024,406,retired,iap,someone else,never married,6 or more,8 or more,85,17 and younger,8th grade,less than high school,iap,female,black,farm,south,different state,mother only,below average,yes,iap,1,0,0,0,1 adult in household,0,"$8,000 to $9,999",midwest,voted,trump,"moderate, middle of the road",about right,too little,too little,too little,too little,too much,too little,too little,too little,too high,don't know,should be legal,protestant,not too happy,good,none or zero,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,did not vote,iap,iap,iap,iap,iap,iap
2024,407,retired,iap,someone else,divorced,0,1,no answer,31,5 years of college,graduate,fine arts,female,white,"in a large city (over 250,000)",midwest,different state,both own parents,average,yes,none,iap,iap,iap,iap,no answer,0,skipped on web,midwest,voted,clinton,liberal,iap,iap,iap,iap,iap,iap,iap,skipped on web,too little,iap,iap,iap,none,very happy,excellent,none or zero,skipped on web,favor,not wrong at all,almost always wrong,strongly disagree,iap,iap,every day,1,voted,biden,iap,iap,iap,iap,iap
2024,408,retired,iap,someone else,never married,1,1,69,34,4 years of college,bachelor's,education administration and teaching,female,white,in a suburb near a large city,northeast,different state,both own parents,below average,yes,four,iap,iap,iap,iap,3,3 or more,"$25,000 or more",midwest,voted,clinton,extremely liberal,iap,iap,iap,iap,iap,iap,iap,too little,too little,too high,favor,iap,jewish,very happy,good,6,2,favor,not wrong at all,always wrong,strongly disagree,no,"no, neither r nor spouse hunts",once a week,2,voted,biden,strongly disagree,often,rarely,very often,1
2024,409,working full time,40,someone else,never married,1,0,30,iap,5 years of college,bachelor's,linguistics and foreign languages,male,white,"in a small city or town (under 50,000)",midwest,"same state, different city",both own parents,above average,yes,none,3,0,0,0,3,don't know,"$25,000 or more",midwest,voted,clinton,liberal,too little,too little,about right,about right,too little,about right,too little,too little,too little,about right,oppose,iap,none,very happy,good,52,as many as you want,favor,not wrong at all,wrong only sometimes,disagree,no,"no, neither r nor spouse hunts",every day,1,did not vote,iap,disagree,very often,often,often,7
2024,410,working full time,5,someone else,married,1,1,37,36,7 years of college,graduate,business,male,white,in a suburb near a large city,midwest,"same state, different city",both own parents,average,no,four,iap,iap,iap,iap,2,2,"$25,000 or more",midwest,voted,clinton,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,about right,too little,too high,favor,iap,none,very happy,good,44,iap,iap,iap,iap,iap,yes,"no, neither r nor spouse hunts",iap,iap,voted,biden,iap,iap,iap,iap,iap
2024,411,working full time,50,someone else,married,1,2,37,33,4 years of college,graduate,business,female,white,in a suburb near a large city,south,different state,other,far above average,no,two,4,2 or more,0,0,2,1,"$25,000 or more",midwest,voted,clinton,liberal,about right,too little,too little,about right,too much,too little,too little,too little,about right,iap,iap,iap,jewish,pretty happy,good,52,as many as you want,favor,not wrong at all,not wrong at all,strongly disagree,iap,iap,every day,2,voted,biden,strongly agree,often,sometimes,very often,6
2024,412,working full time,40,someone else,never married,3,0,30,iap,4 years of college,bachelor's,fine arts,female,white,in a suburb near a large city,midwest,different state,both own parents,above average,yes,none,iap,iap,iap,iap,1 adult in household,1,"$25,000 or more",midwest,voted,trump,liberal,iap,iap,iap,iap,iap,iap,iap,too little,about right,about right,favor,iap,protestant,pretty happy,good,49,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,voted,biden,iap,iap,iap,iap,iap
2024,413,working full time,40,someone else,never married,2,0,26,iap,4 years of college,bachelor's,business,male,white,"in a large city (over 250,000)",midwest,"same state, different city",both own parents,average,yes,two,iap,iap,iap,iap,2,2,"$25,000 or more",midwest,voted,clinton,slightly liberal,iap,iap,iap,iap,iap,iap,iap,too little,too little,about right,oppose,iap,none,pretty happy,fair,30,3,favor,wrong only sometimes,wrong only sometimes,disagree,no,"no, neither r nor spouse hunts",once a week,2,voted,biden,neither agree nor disagree,sometimes,sometimes,sometimes,6
2024,414,retired,iap,someone else,never married,1,0,71,iap,6 years of college,graduate,business,male,white,"in a large city (over 250,000)",midwest,"same state, same city",both own parents,average,yes,one,1,0,0,0,1 adult in household,1,"$25,000 or more",midwest,voted,clinton,liberal,about right,too little,too little,too little,too little,too little,about right,too little,about right,about right,favor,iap,none,very happy,excellent,20,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,voted,biden,iap,iap,iap,iap,iap
2024,415,working full time,40,someone else,never married,0,0,60,iap,2 years of college,associate/junior college,engineering,male,white,in a suburb near a large city,midwest,"same state, same city",both own parents,average,yes,one,1,0,0,0,1 adult in household,1,"$25,000 or more",midwest,voted,clinton,slightly liberal,about right,too little,too little,too little,too little,too little,too little,about right,too little,about right,oppose,iap,none,pretty happy,good,52,iap,iap,iap,iap,iap,yes,"no, neither r nor spouse hunts",iap,iap,voted,biden,iap,iap,iap,iap,iap
2024,416,retired,iap,someone else,married,6 or more,3,74,26,4 years of college,bachelor's,social sciences,male,other,"in a large city (over 250,000)",foreign,different state,both own parents,average,no,don't know,2,0,0,0,2,0,"$25,000 or more",midwest,skipped on web,skipped on web,"moderate, middle of the road",about right,too little,too little,about right,too little,too little,too little,too little,about right,too high,favor,iap,hinduism,very happy,fair,none or zero,iap,iap,iap,iap,iap,no,"no, neither r nor spouse hunts",iap,iap,skipped on web,skipped on web,iap,iap,iap,iap,iap
2024,417,keeping house,iap,someone else,never married,3,skipped on web,61,skipped on web,12th grade,high school,iap,male,white,in a suburb near a large city,midwest,"same state, same city",both own parents,average,yes,four,iap,iap,iap,iap,1 adult in household,skipped on web,skipped on web,midwest,voted,trump,conservative,iap,iap,iap,iap,iap,iap,iap,about right,about right,about right,favor,iap,catholic,not too happy,fair,skipped on web,as many as you want,favor,not wrong at all,wrong only sometimes,agree,no,"no, neither r nor spouse hunts",every day,skipped on web,voted,trump,disagree,can't choose,can't choose,skipped on web,4
